Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
Nano-Micro Letters;23116706;21505551;MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED;SCIE;47648;38.5;Q1;Q1
REVIEWS OF GEOPHYSICS;87551209;19449208;GEOCHEMISTRY & GEOPHYSICS;SCIE;21762;38.5;Q1;Q1
Nature Photonics;17494885;17494893;OPTICS | PHYSICS, APPLIED;SCIE;66213;38.1;Q1;Q1
NATURE MATERIALS;14761122;14764660;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;120629;38;Q1;Q1
Nature Nanotechnology;17483387;17483395;MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;87388;37.5;Q1;Q1
Annual Review of Astronomy and Astrophysics;00664146;15454282;ASTRONOMY & ASTROPHYSICS;SCIE;19257;37.3;Q1;Q1
Joule;25424351;25424351;CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;52404;37.1;Q1;Q1
Cell Metabolism;15504131;19327420;CELL BIOLOGY | ENDOCRINOLOGY & METABOLISM;SCIE;73683;37;Q1;Q1
Foundations and Trends in Machine Learning;19358237;19358245;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;ESCI;5119;36.6;Q1;Q1
Lancet Diabetes & Endocrinology;22138587;22138595;ENDOCRINOLOGY & METABOLISM;SCIE;26882;36.3;Q1;Q1
Physiological Reviews;00319333;15221210;PHYSIOLOGY;SCIE;42535;35.7;Q1;Q1
Nature Reviews Electrical Engineering;N/A;29481201;ENGINEERING, ELECTRICAL & ELECTRONIC;ESCI;2048;34.8;Q1;Q1
Lancet Respiratory Medicine;22132600;N/A;CRITICAL CARE MEDICINE | RESPIRATORY SYSTEM;SCIE;25277;34.7;Q1;Q1
Annual Review of Pathology-Mechanisms of Disease;15534006;15534014;PATHOLOGY;SCIE;10383;34.5;Q1;Q1
LANCET ONCOLOGY;14702045;14745488;ONCOLOGY;SCIE;77887;33.7;Q1;Q1
Nature Reviews Rheumatology;17594790;17594804;RHEUMATOLOGY;SCIE;20561;33.7;Q1;Q1
PROGRESS IN POLYMER SCIENCE;00796700;18731619;POLYMER SCIENCE;SCIE;30170;32.8;Q1;Q1
Molecular Plant;16742052;17529867;BIOCHEMISTRY & MOLECULAR BIOLOGY | PLANT SCIENCES;SCIE;32597;32.7;Q1;Q1
Nature Sustainability;23989629;23989629;ENVIRONMENTAL SCIENCES | ENVIRONMENTAL STUDIES | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE | SSCI;32291;32.1;Q1;Q1
eLight;20971710;26628643;OPTICS;SCIE;2096;31.4;Q1;Q1
Nature Reviews Neurology;17594758;17594766;CLINICAL NEUROLOGY;SCIE;25085;31.2;Q1;Q1
CELL RESEARCH;10010602;17487838;CELL BIOLOGY;SCIE;30501;31.1;Q1;Q1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT;02684012;18734707;INFORMATION SCIENCE & LIBRARY SCIENCE;SSCI;25431;31;Q1;Q1
PROCEEDINGS OF THE IEEE;00189219;15582256;ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;47784;30.9;Q1;Q1
Nature Water;N/A;27316084;ENVIRONMENTAL SCIENCES | WATER RESOURCES;SCIE;6496;30.7;Q1;Q1
Immunity;10747613;10974180;IMMUNOLOGY;SCIE;80786;30.6;Q1;Q1
Energy & Environmental Science;17545692;17545706;CHEMISTRY, MULTIDISCIPLINARY | ENERGY & FUELS | ENGINEERING, CHEMICAL | ENVIRONMENTAL SCIENCES;SCIE;139545;30.5;Q1;Q1
ACM COMPUTING SURVEYS;03600300;15577341;COMPUTER SCIENCE, THEORY & METHODS;SCIE;48496;30.4;Q1;Q1
Exploration;27668509;27662098;MATERIALS SCIENCE, MULTIDISCIPLINARY | MULTIDISCIPLINARY SCIENCES | NANOSCIENCE & NANOTECHNOLOGY;ESCI;7152;30.4;Q1;Q1
Advances in Optics and Photonics;19438206;N/A;OPTICS;SCIE;5691;30.1;Q1;Q1
Nature Machine Intelligence;N/A;25225839;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;SCIE;23900;29.8;Q1;Q1
Gastroenterology;00165085;15280012;GASTROENTEROLOGY & HEPATOLOGY;SCIE;93386;29.7;Q1;Q1
Nature Chemical Engineering;N/A;29481198;ENGINEERING, CHEMICAL;ESCI;1997;29.7;Q1;Q1
Cancer Discovery;21598274;21598290;ONCOLOGY;SCIE;40579;29.5;Q1;Q1
Lancet Rheumatology;26659913;26659913;RHEUMATOLOGY;SCIE;6511;29.5;Q1;Q1
LANCET INFECTIOUS DISEASES;14733099;14744457;INFECTIOUS DISEASES;SCIE;42054;29.4;Q1;Q1
Living Reviews in Solar Physics;23673648;16144961;ASTRONOMY & ASTROPHYSICS;SCIE;2460;29.4;Q1;Q1
ADVANCED MATERIALS;09359648;15214095;CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;540001;29.1;Q1;Q1
EUROPEAN UROLOGY;03022838;18737560;UROLOGY & NEPHROLOGY;SCIE;38364;29.1;Q1;Q1
Annual Review of Condensed Matter Physics;19475454;19475462;PHYSICS, CONDENSED MATTER;SCIE;6578;29;Q1;Q1
Military Medical Research;20957467;20549369;MEDICINE, GENERAL & INTERNAL;SCIE;7682;29;Q1;Q1
NATURE REVIEWS NEUROSCIENCE;1471003X;14710048;NEUROSCIENCES;SCIE;54187;29;Q1;Q1
Cancer Communications;N/A;25233548;ONCOLOGY;SCIE;9938;28.4;Q1;Q1
NATURE METHODS;15487091;15487105;BIOCHEMICAL RESEARCH METHODS;SCIE;142000;28.3;Q1;Q1
Nature Cancer;N/A;26621347;ONCOLOGY;SCIE;14846;28;Q1;Q1
Nature Metabolism;N/A;25225812;ENDOCRINOLOGY & METABOLISM;SCIE;20014;27.5;Q1;Q1
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS;03701573;18736270;PHYSICS, MULTIDISCIPLINARY;SCIE;41071;27.5;Q1;Q1
FUNGAL DIVERSITY;15602745;18789129;MYCOLOGY;SCIE;8588;27;Q1;Q1
Nature Climate Change;1758678X;17586798;ENVIRONMENTAL SCIENCES | ENVIRONMENTAL STUDIES | METEOROLOGY & ATMOSPHERIC SCIENCES;SCIE | SSCI;61754;26.9;Q1;Q1
Opto-Electronic Science;20970382;20974000;OPTICS;ESCI;1733;26.9;Q1;Q1
Advanced Powder Materials;N/A;2772834X;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;3909;26.8;Q1;Q1
Lancet Public Health;24682667;24682667;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE, SSCI;17385;26.5;Q1;Q1
NATURE IMMUNOLOGY;15292908;15292916;IMMUNOLOGY;SCIE;59614;26.5;Q1;Q1
Annual Review of Plant Biology;15435008;15452123;PLANT SCIENCES;SCIE;25778;26.4;Q1;Q1
JAMA Internal Medicine;21686106;21686114;MEDICINE, GENERAL & INTERNAL;SCIE;28116;26.3;Q1;Q1
Nature Biomedical Engineering;2157846X;2157846X;ENGINEERING, BIOMEDICAL;SCIE;24906;26.3;Q1;Q1
Annual Review of Fluid Mechanics;00664189;15454479;MECHANICS | PHYSICS, FLUIDS & PLASMAS;SCIE;20336;26.1;Q1;Q1
COORDINATION CHEMISTRY REVIEWS;00108545;18733840;CHEMISTRY, INORGANIC & NUCLEAR;SCIE;86303;25.6;Q1;Q1
Advanced Energy Materials;16146832;16146840;CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;174452;25.5;Q1;Q1
Lancet Digital Health;N/A;25897500;MEDICAL INFORMATICS | MEDICINE, GENERAL & INTERNAL;SCIE;11618;25.5;Q1;Q1
NATURE GENETICS;10614036;15461718;GENETICS & HEREDITY;SCIE;114115;25.5;Q1;Q1
Science Robotics;24709476;24709476;ROBOTICS;SCIE;17521;25.5;Q1;Q1
TRENDS IN CELL BIOLOGY;09628924;18793088;CELL BIOLOGY;SCIE;21812;25.3;Q1;Q1
Environmental Chemistry Letters;16103653;16103661;CHEMISTRY, MULTIDISCIPLINARY | ENGINEERING, ENVIRONMENTAL | ENVIRONMENTAL SCIENCES;SCIE;25657;25.2;Q1;Q1
Journal of the National Cancer Center;26670054;26670054;ONCOLOGY;ESCI;2638;25.2;Q1;Q1
International Journal of Extreme Manufacturing;26318644;26317990;ENGINEERING, MANUFACTURING | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;8329;25.1;Q1;Q1
Nature Aging;N/A;26628465;CELL BIOLOGY | GERIATRICS & GERONTOLOGY | NEUROSCIENCES;SCIE;10875;25;Q1;Q1
Annual Review of Biochemistry;00664154;15454509;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;21229;24.9;Q1;Q1
Nature Food;N/A;26621355;FOOD SCIENCE & TECHNOLOGY;SCIE;14325;24.7;Q1;Q1
GUT;00175749;14683288;GASTROENTEROLOGY & HEPATOLOGY;SCIE;66773;24.6;Q1;Q1
Nature Chemistry;17554330;17554349;CHEMISTRY, MULTIDISCIPLINARY;SCIE;51530;24.5;Q1;Q1
PROGRESS IN AEROSPACE SCIENCES;03760421;18731724;ENGINEERING, AEROSPACE;SCIE;11178;24.2;Q1;Q1
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE;08906955;18792170;ENGINEERING, MANUFACTURING | ENGINEERING, MECHANICAL;SCIE;18908;24.1;Q1;Q1
Materials Today;13697021;18734103;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;36727;24.1;Q1;Q1
ANNALS OF THE RHEUMATIC DISEASES;00034967;14682060;RHEUMATOLOGY;SCIE;57368;24;Q1;Q1
Light-Science & Applications;20955545;20477538;OPTICS;SCIE;36378;24;Q1;Q1
TRENDS IN PHARMACOLOGICAL SCIENCES;01656147;18733735;PHARMACOLOGY & PHARMACY;SCIE;17299;24;Q1;Q1
BLOOD;00064971;15280020;HEMATOLOGY;SCIE;168805;23.9;Q1;Q1
Cellular & Molecular Immunology;16727681;20420226;IMMUNOLOGY;SCIE;21315;23.9;Q1;Q1
ENDOCRINE REVIEWS;0163769X;19457189;ENDOCRINOLOGY & METABOLISM;SCIE;20852;23.9;Q1;Q1
JAMA Oncology;23742437;23742445;ONCOLOGY;SCIE;32733;23.9;Q1;Q1
EUROPEAN RESPIRATORY JOURNAL;09031936;13993003;RESPIRATORY SYSTEM;SCIE;55083;23.8;Q1;Q1
ADVANCES IN COLLOID AND INTERFACE SCIENCE;00018686;18733727;CHEMISTRY, PHYSICAL;SCIE;36856;23.7;Q1;Q1
Bioactive Materials;N/A;2452199X;ENGINEERING, BIOMEDICAL | MATERIALS SCIENCE, BIOMATERIALS;SCIE;43995;23.6;Q1;Q1
JAMA Neurology;21686149;21686157;CLINICAL NEUROLOGY;SCIE;26720;23.6;Q1;Q1
Computers and Education: Artificial Intelligence;2666920X;2666920X;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | EDUCATION & EDUCATIONAL RESEARCH;ESCI;7468;23.4;Q1;Q1
Cell Stem Cell;19345909;18759777;CELL & TISSUE ENGINEERING | CELL BIOLOGY;SCIE;33534;23.3;Q1;Q1
Journal of Thoracic Oncology;15560864;15561380;ONCOLOGY | RESPIRATORY SYSTEM;SCIE;29690;23.3;Q1;Q1
Cell Host & Microbe;19313128;19346069;MICROBIOLOGY | PARASITOLOGY | VIROLOGY;SCIE;36971;23.2;Q1;Q1
Responsive Materials;2834894X;28348966;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1246;22.9;Q1;Q1
NATURE CELL BIOLOGY;14657392;14764679;CELL BIOLOGY;SCIE;50742;22.7;Q1;Q1
Advanced Fiber Materials;25247921;2524793X;MATERIALS SCIENCE, MULTIDISCIPLINARY | MATERIALS SCIENCE, TEXTILES;SCIE;9305;22.6;Q1;Q1
CANCER RESEARCH;00085472;15387445;ONCOLOGY;SCIE;119428;22.6;Q1;Q1
DIABETES CARE;01495992;19355548;ENDOCRINOLOGY & METABOLISM;SCIE;82731;22.6;Q1;Q1
Nano Research Energy;27910091;27908119;ENERGY & FUELS | NANOSCIENCE & NANOTECHNOLOGY;ESCI;2652;22.6;Q1;Q1
Nature Synthesis;N/A;27310582;CHEMISTRY, MULTIDISCIPLINARY;ESCI;9321;22.6;Q1;Q1
Annual Review of Marine Science;19411405;19410611;GEOCHEMISTRY & GEOPHYSICS | MARINE & FRESHWATER BIOLOGY | OCEANOGRAPHY;SCIE;8150;22.5;Q1;Q1
Interdisciplinary Materials;27674401;2767441X;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED;ESCI;3176;22.5;Q1;Q1
Lancet Global Health;2214109X;2214109X;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE, SSCI;31059;22.5;Q1;Q1
Opto-Electronic Advances;20964579;20973993;OPTICS;SCIE;4332;22.4;Q1;Q1
JACC-Journal of the American College of Cardiology;07351097;15583597;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;124430;22.3;Q1;Q1
DRUG RESISTANCE UPDATES;13687646;15322084;PHARMACOLOGY & PHARMACY;SCIE;9360;22;Q1;Q1
INTENSIVE CARE MEDICINE;03424642;14321238;CRITICAL CARE MEDICINE;SCIE;34080;22;Q1;Q1
Nature Reviews Psychology;N/A;27310574;PSYCHOLOGY, MULTIDISCIPLINARY;SSCI;4045;22;Q1;Q1
Lancet Microbe;N/A;26665247;INFECTIOUS DISEASES | MICROBIOLOGY;SCIE;8267;21.9;Q1;Q1
KIDNEY INTERNATIONAL;00852538;15231755;UROLOGY & NEPHROLOGY;SCIE;52229;21.8;Q1;Q1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;1073449X;15354970;CRITICAL CARE MEDICINE | RESPIRATORY SYSTEM;SCIE;71648;21.7;Q1;Q1
Clinical and Molecular Hepatology;22872728;2287285X;GASTROENTEROLOGY & HEPATOLOGY;SCIE;6351;21.7;Q1;Q1
Journal of Extracellular Vesicles;N/A;20013078;CELL BIOLOGY;SCIE;19056;21.7;Q1;Q1
Trends in Cancer;24058033;24058025;ONCOLOGY;SCIE;11685;21.6;Q1;Q1
Carbon Neutralization;27693333;27693325;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;2824;21.5;Q1;Q1
Green Energy and Intelligent Transportation;20972512;27731537;TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE;2693;21.5;Q1;Q1
Carbon Energy;N/A;26379368;CHEMISTRY, PHYSICAL | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;11725;21.4;Q1;Q1
TRENDS IN PLANT SCIENCE;13601385;18784372;PLANT SCIENCES;SCIE;35314;21.2;Q1;Q1
Lancet Psychiatry;22150366;22150374;PSYCHIATRY;SCIE, SSCI;23610;21.1;Q1;Q1
MATERIALS SCIENCE & ENGINEERING R-REPORTS;0927796X;1879212X;MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED;SCIE;13974;21.1;Q1;Q1
ADVANCED DRUG DELIVERY REVIEWS;0169409X;18728294;PHARMACOLOGY & PHARMACY;SCIE;54536;21;Q1;Q1
Cyborg and Bionic Systems;N/A;26927632;ENGINEERING, BIOMEDICAL | ROBOTICS;SCIE;2883;20.9;Q1;Q1
CLINICAL MICROBIOLOGY REVIEWS;08938512;10986618;MICROBIOLOGY;SCIE;27202;20.7;Q1;Q1
Science Bulletin;20959273;20959281;MULTIDISCIPLINARY SCIENCES;SCIE;27405;20.7;Q1;Q1
Nature Geoscience;17520894;17520908;GEOSCIENCES, MULTIDISCIPLINARY;SCIE;47316;20.6;Q1;Q1
Lancet Healthy Longevity;26667568;26667568;GERIATRICS & GERONTOLOGY;SCIE;5878;20.5;Q1;Q1
Lancet Planetary Health;N/A;25425196;ENVIRONMENTAL SCIENCES | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE | SCIE, SSCI;14537;20.5;Q1;Q1
Nano Materials Science;20966482;25899651;MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;ESCI;4087;20.5;Q1;Q1
EnergyChem;25897780;25897780;CHEMISTRY, MULTIDISCIPLINARY | ENERGY & FUELS | ENGINEERING, CHEMICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;3027;20.4;Q1;Q1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE;01628828;19393539;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;123304;20.4;Q1;Q1
Lancet Haematology;23523026;N/A;HEMATOLOGY;SCIE;8860;20.4;Q1;Q1
Annual Review of Physiology;00664278;15451585;PHYSIOLOGY;SCIE;12413;20.3;Q1;Q1
Nature Computational Science;N/A;26628457;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | COMPUTER SCIENCE, THEORY & METHODS | MULTIDISCIPLINARY SCIENCES;SCIE;6661;20.3;Q1;Q1
NATURE NEUROSCIENCE;10976256;15461726;NEUROSCIENCES;SCIE;79106;20.3;Q1;Q1
PHARMACOLOGICAL REVIEWS;00316997;15210081;PHARMACOLOGY & PHARMACY;SCIE;14680;20.3;Q1;Q1
SEMINARS IN CANCER BIOLOGY;1044579X;10963650;ONCOLOGY;SCIE;21930;20.3;Q1;Q1
TRENDS IN COGNITIVE SCIENCES;13646613;1879307X;BEHAVIORAL SCIENCES | NEUROSCIENCES | PSYCHOLOGY, EXPERIMENTAL;SCIE | SSCI;40204;20.3;Q1;Q1
ASTRONOMY AND ASTROPHYSICS REVIEW;09354956;14320754;ASTRONOMY & ASTROPHYSICS;SCIE;3674;20.1;Q1;Q1
Bone Research;20954700;20956231;CELL & TISSUE ENGINEERING;SCIE;8555;20.1;Q1;Q1
HUMAN REPRODUCTION UPDATE;13554786;14602369;OBSTETRICS & GYNECOLOGY | REPRODUCTIVE BIOLOGY;SCIE;14734;20.1;Q1;Q1
Radiology-Artificial Intelligence;26386100;26386100;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;4771;20.1;Q1;Q1
TRENDS IN ENDOCRINOLOGY AND METABOLISM;10432760;18793061;ENDOCRINOLOGY & METABOLISM;SCIE;15416;20.1;Q1;Q1
